"","beta","HR (95% CI)","z","wald.test","P-value"
"EPHX3|79852","-0.1572","0.8545(0.7637-0.9561)","-2.7427","7.52","0.0061"
"SPRR1B|6699","0.0705","1.073(1.0203-1.1285)","2.7428","7.52","0.0061"
"COL1A2|1278","0.1672","1.182(1.0487-1.3323)","2.7394","7.5","0.0062"
"KIR2DL1|3802","-0.2368","0.7891(0.6661-0.9349)","-2.7391","7.5","0.0062"
"FAM72D|728833","0.1654","1.1799(1.0478-1.3286)","2.7306","7.46","0.0063"
"C15orf42|90381","0.1751","1.1914(1.0504-1.3513)","2.726","7.43","0.0064"
"CDC25A|993","0.2048","1.2272(1.0593-1.4219)","2.7268","7.44","0.0064"
"CCDC154|645811","-0.1402","0.8692(0.7859-0.9613)","-2.729","7.45","0.0064"
"MFSD2B|388931","0.2202","1.2463(1.0636-1.4605)","2.722","7.41","0.0065"
"HSPD1|3329","0.4089","1.5051(1.1203-2.022)","2.7143","7.37","0.0066"
"C9orf173|441476","-0.1809","0.8346(0.7322-0.9512)","-2.7097","7.34","0.0067"
"NEK2|4751","0.184","1.202(1.052-1.3732)","2.7062","7.32","0.0068"
"GPR87|53836","0.0821","1.0856(1.0229-1.1522)","2.7053","7.32","0.0068"
"GPRIN1|114787","0.2115","1.2355(1.0599-1.4402)","2.7033","7.31","0.0069"
"TUBB3|10381","0.1706","1.186(1.0477-1.3425)","2.6964","7.27","0.007"
"NEFL|4747","0.0943","1.0989(1.0261-1.177)","2.6951","7.26","0.007"
"DARS2|55157","0.3589","1.4318(1.1024-1.8596)","2.6909","7.24","0.0071"
"LMNB2|84823","0.2983","1.3475(1.0845-1.6744)","2.6919","7.25","0.0071"
